book_folder,id,display_label,title,arabic_title,preface,range,order
abu-dawud_bn,28,২৮,খাদ্যদ্রব্য,كِتَابُ الأَطْعِمَةِ,,৩৭৩৬ - ৩৮৫৪,28
abu-dawud_bn,29,২৯,চিকিৎসা,كِتَابُ الطِّبِّ,,৩৮৫৫ - ৩৯০৩,29
abu-dawud_bn,30,৩০,ভবিষ্যৎ কথন ও কুলক্ষণ-সুলক্ষণ,كِتَابُ أَخْبَارِ الْمُسْتَقْبَلِ وَالطِّيَرَةِ,,৩৯০৪ - ৩৯২৫,30
abu-dawud_bn,31,৩১,দাসত্বমুক্তি,كِتَابُ الْعِتْقِ,,৩৯২৬ - ৩৯৬৮,31
abu-dawud_bn,32,৩২,কুরআনের কিরাআত ও পাঠের নিয়ম,كِتَابُ الْحُرُوفِ وَالْقِرَاءَاتِ,,৩৯৬৯ - ৪০০৮,32
abu-dawud_bn,33,৩৩,গণ-গোসলখানা,كِتَابُ الْحَمَّامِ,,৪০০৯ - ৪০১৯,33
abu-dawud_bn,34,৩৪,পোশাক-পরিচ্ছেদ,كِتَابُ اللِّبَاسِ,,৪০২০ - ৪১৫৮,34
abu-dawud_bn,35,৩৫,চুল আঁচড়ানো,كِتَابُ التَّرَجُّلِ,,৪১৫৯ - ৪২১৩,35
abu-dawud_bn,36,৩৬,আংটি,كِتَابُ الْخَاتَمِ,,৪২১৪ - ৪২৩৯,36
abu-dawud_bn,37,৩৭,ফিতনা ও বিপর্যয়,كِتَابُ الْفِتَنِ وَالْمَلَاحِمِ,,৪২৪০ - ৪২৭৮,37
abu-dawud_bn,38,৩৮,ইমাম মাহদি প্রসঙ্গে,كِتَابُ الْمَهْدِيِّ,,৪২৭৯ - ৪২৯০,38
abu-dawud_bn,39,৩৯,যুদ্ধ-সংঘর্ষ,كِتَابُ الْمَلَاحِمِ,,৪২৯১ - ৪৩৫০,39
abu-dawud_bn,40,৪০,অপরাধ ও তার শাস্তি,كِتَابُ الْحُدُودِ,,৪৩৫১ - ৪৪৯৩,40
abu-dawud_bn,41,৪১,রক্তমূল্য,كِتَابُ الدِّيَاتِ,,৪৪৯৪ - ৪৫৯৫,41
abu-dawud_bn,42,৪২,সুন্নাহ,كِتَابُ السُّنَّةِ,,৪৫৯৬ - ৪৭৭২,42
abu-dawud_bn,43,৪৩,শিষ্টাচার,كِتَابُ الأَدَبِ,,৪৭৭৩ - ৫২৭৪,43
adabul-mufrad_bn,1,১,পিতা-মাতার সাথে সদ্ধ্যবহার,,,১ - ৪৬,1
adabul-mufrad_bn,2,২,আত্মীয়তার বন্ধন,,,৪৭ - ৭৫,2
adabul-mufrad_bn,3,৩,সন্তানের প্রতি মমতা,,,৭৬ - ৯৯,3
adabul-mufrad_bn,4,৪,প্রতিবেশীর সাথে সাদাচার,,,১০০ - ১২৮,4
adabul-mufrad_bn,5,৫,ভদ্র আচার ব্যাবহার,,,১২৯ - ২১৯,5
adabul-mufrad_bn,6,৬,"বদান্যতা, কৃপণতা ও চারিত্রিক দোষ-ত্রুটি",,,২২০ - ৪৯২,6
adabul-mufrad_bn,7,৭,রোগীর সাথে দেখা-সাক্ষাৎ,,,৪৯৩ - ৫৩৯,7
adabul-mufrad_bn,8,৮,বিবিধ বিষয়,,,৫৪০ - ৬০৭,8
adabul-mufrad_bn,9,৯,দোয়া-দুরুদ,,,৬০৮ - ৭৪৪,9
adabul-mufrad_bn,10,১০,মেহমানদারি,,,৭৪৫ - ৭৮৭,10
adabul-mufrad_bn,11,১১,গান-বাজনা ও অলসতা,,,৭৮৮ - ৮২০,11
adabul-mufrad_bn,12,১২,অর্থপূর্ণ নাম রাখা এবং কদর্য নাম পরিবর্তন,,,৮২১ - ৮৬৩,12
adabul-mufrad_bn,13,১৩,কবিতা চর্চা ও ব্যাঙ্গ-কৌতুক,,,৮৬৪ - ৯২৬,13
adabul-mufrad_bn,14,১৪,হাঁচি ও তার জবাবদান,,,৯২৭ - ৯৮৬,14
adabul-mufrad_bn,15,১৫,পরস্পর সালাম বিনিময়,,,৯৮৭ - ১০৬০,15
adabul-mufrad_bn,16,১৬,দেখা-সাক্ষাতের জন্য অনুমতি প্রার্থনা,,,১০৬১ - ১১২৬,16
adabul-mufrad_bn,17,১৭,চিঠিপত্রের আদান-প্রদান,,,১১২৭ - ১১৪৫,17
adabul-mufrad_bn,18,১৮,সভা-সমাবেশ ও তার রীতিনীতি,,,১১৪৬ - ১১৯৬,18
adabul-mufrad_bn,19,১৯,ঘুমানোর আদব-কায়দা,,,১১৯৭ - ১২৫৫,19
adabul-mufrad_bn,20,২০,জন্মোৎসব ও খতনা অনুষ্ঠান,,,১২৫৬ - ১২৭০,20
adabul-mufrad_bn,21,২১,জুয়া ও দাবা/পাশা খেলা,,,১২৭১ - ১২৯৫,21
adabul-mufrad_bn,22,২২,"কুমন্ত্রনা, কুধারনা ও বাচালতা",,,১২৯৬ - ১৩৩৬,22
bukhari_bn,1,১,ওহীর সূচনা অধ্যায়,كتاب بدء الوحى,,১ - ৭,1
bukhari_bn,2,২,ঈমান,كتاب الإيمان,,৮ - ৫৮,2
bukhari_bn,3,৩,ইলম,كتاب العلم,,৫৯ - ১৩৪,3
bukhari_bn,4,৪,ওযু,كتاب الوضوء,,১৩৫ - ২৪৭,4
bukhari_bn,5,৫,গোসল,كتاب الغسل,,২৪৮ - ২৯৩,5
bukhari_bn,6,৬,হায়েজ,كتاب الحيض,,২৯৪ - ৩৩৩,6
bukhari_bn,7,৭,তায়াম্মুম,كتاب التيمم,,৩৩৪ - ৩৪৮,7
bukhari_bn,8,৮,সালাত,كتاب الصلاة,,৩৪৯ - ৫২০,8
bukhari_bn,9,৯,সালাতের ওয়াক্তসমূহ,كتاب مواقيت الصلاة,,৫২১ - ৬০২,9
bukhari_bn,10,১০,আজান,كتاب الأذان,,৬০৩ - ৮৭৫,10
bukhari_bn,11,১১,জুমা,كتاب الجمعة,,৮৭৬ - ৯৪১,11
bukhari_bn,12,১২,খাওফ (ভয় ভীতির সালাত),كتاب صلاة الخوف,,৯৪২ - ৯৪৭,12
bukhari_bn,13,১৩,দুই ঈদ,كتاب العيدين,,৯৪৮ - ৯৮৯,13
bukhari_bn,14,১৪,বিতর,كتاب الوتر,,৯৯০ - ১০০৪,14
bukhari_bn,15,১৫,বৃষ্টির জন্য দোয়া,كتاب الاستسقاء,,১০০৫ - ১০৩৯,15
bukhari_bn,16,১৬,সূর্যগ্রহণ,كتاب الكسوف,,১০৪০ - ১০৬৬,16
bukhari_bn,17,১৭,কুরআন তিলাওয়াতের সিজদা,كتاب سجود القرآن,,১০৬৭ - ১০৭৯,17
bukhari_bn,18,১৮,সালাতে কসর করা,كتاب التقصير,,১০৮০ - ১১১৯,18
bukhari_bn,19,১৯,তাহাজ্জুদ,كتاب التهجد,,১১২০ - ১১৮৭,19
bukhari_bn,20,২০,মক্কা ও মদীনার মসজিদে সালাতের মর্যাদা,كتاب فضل الصلاة فى مسجد مكة والمدينة,,১১৮৮ - ১১৯৭,20
bukhari_bn,21,২১,সালাতের সাথে সংশ্লিষ্ট কাজ,كتاب العمل فى الصلاة,,১১৯৮ - ১২২৩,21
bukhari_bn,22,২২,সাহু,كتاب السهو,,১২২৪ - ১২৩৬,22
bukhari_bn,23,২৩,জানাজা,كتاب الجنائز,,১২৩৭ - ১৩৯৪,23
bukhari_bn,24,২৪,যাকাত,كتاب الزكاة,,১৩৯৫ - ১৫১২,24
bukhari_bn,25,২৫,হজ্জ,كتاب الحج,,১৫১৩ - ১৭৭২,25
bukhari_bn,26,২৬,উমরাহ,كتاب العمرة,,১৭৭৩ - ১৮০৫,26
